,calories_burned,Steps,Distance,Minutes Sedentary,Minutes Lightly Active,Minutes Fairly Active,Minutes Very Active,Activity Calories
2018-12-07,3230.0481510643654,8269.213601292186,3.89824078613551,770.1120537176637,191.15484039110999,15.331561458327066,33.593384994042935,1351.2666934364738
2018-12-08,3283.656989681325,8747.898022991905,4.134846200339,762.9270119082097,192.53022559603696,14.233900335090752,34.39649671993124,1388.3559455620782
2018-12-09,3187.2457034716003,7923.690755880268,3.740101549321672,736.5710211198689,198.04295982317396,12.832182680773899,28.926398132954006,1311.4831675812627
2018-12-10,3261.737775968512,8619.133548910286,4.076531318592053,744.5200621016191,201.5570064080048,12.31034434515644,33.17071588379688,1370.645276302455
2018-12-11,3195.775796351281,7961.256890484539,3.7591805031981993,728.7134155344143,204.45111959658516,12.272914222219082,29.233355649792337,1319.6121465454883
2018-12-12,3256.096615936414,8636.132796462523,4.085098785881929,737.255798358338,206.72576864879605,12.33431952692091,33.211561342560024,1370.1466278786304
2018-12-13,3205.886304017426,8049.352863044622,3.8012063923040595,725.1251122232871,208.56068337243616,12.367025800416206,29.813070779982198,1331.3401685731228
2018-12-14,3253.18339062813,8675.250046240286,4.103680367213632,732.1163837756299,210.06009704273288,12.369680923148302,33.356364272767834,1372.4249642829823
2018-12-15,3214.6609987763973,8142.418649107019,3.8454046549054173,722.1149215491254,211.30781725357784,12.36205578544483,30.38383981066923,1342.486252677874
2018-12-16,3251.7225185638763,8719.30479640016,4.1245068210187625,727.496066279974,212.36598619980626,12.354156736981107,33.531408764821634,1375.8190132155073
2018-12-17,3222.2282131931315,8234.354032184294,3.8890433615510047,719.0713588916681,213.28153012013286,12.347769714079561,30.931586351290793,1352.8278221232401
2018-12-18,3251.343444789786,8765.77480600608,4.146454029497177,723.0868248154399,214.08973606207394,12.342175277731085,33.729399046220976,1379.9890759649068
2018-12-19,3228.8475889535557,8324.472296648624,3.9318236961996433,715.9133994038738,214.81716444642805,12.336730956319542,31.458109859118032,1362.4973241657274
2018-12-20,3251.8002727898697,8814.167358554161,4.169302427762059,718.8120691717874,215.48380275218284,12.331233934313689,33.94740097588521,1384.7634898424656
